pKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD
ea450be5-7596-4ab1-b7e5-922c281a0ef9,9/8/2012 12:00:00 AM,9/8/2012 12:00:00 AM,25083229710000,25,83,"Continental Resources, Inc",Cara 1-21H,47.9843687128,-104.62601878358,NAD83,,,,Montana,Richland,1,False,False,,
7fbcae0a-a1a2-4201-8c32-5104e0b454f6,9/10/2012 12:00:00 AM,9/10/2012 12:00:00 AM,25083229620000,25,83,Whiting Petroleum,Mahlen 24-32H,47.9545,-104.3896,NAD83,,,,Montana,Richland,1,False,False,,
9e28dd0e-63f8-45cf-a6a5-7fce93e13cb1,9/12/2012 12:00:00 AM,9/12/2012 12:00:00 AM,25083230060000,25,83,"Slawson Exploration Company, Inc.",Lasso 1-4H,47.702223,-104.533655,NAD83,10853.0,1219656.0,,Montana,Richland,1,False,False,,
c46c4dbc-aa58-4fc1-802c-359e56212082,9/13/2012 12:00:00 AM,9/13/2012 12:00:00 AM,25083229240000,25,83,"Continental Resources, Inc",Sherman 1-1H,48.04135131246,-104.6855645649,NAD83,,,,Montana,Richland,1,False,False,,
6ae3d363-66f8-496d-9fc0-6c71c102ecce,9/13/2012 12:00:00 AM,9/13/2012 12:00:00 AM,25083229340000,25,83,Statoil Oil & Gas LP,Shirley 13-24 #1H,48.0115897,-104.0115897,NAD83,,,,Montana,Roosevelt,1,False,False,,
8bac3c31-31ef-4196-82dd-6725e6a2334c,9/17/2012 12:00:00 AM,9/17/2012 12:00:00 AM,25083229300000,25,83,"Continental Resources, Inc",Mackie 1-19H,48.0711897379959,-104.668382798,NAD83,,,,Montana,Richland,1,False,False,,
d0dfe934-d768-4fd8-b0aa-27a6b546bcef,9/17/2012 12:00:00 AM,9/17/2012 12:00:00 AM,25091219270000,25,91,"VAALCO ENERGY (USA), INC.",Bolke 11-01H,48.982061,-104.290017,NAD83,,,,Montana,Sheridan,1,False,False,,
4aa6c602-a732-45bc-a3d7-f01d24d2746a,9/20/2012 12:00:00 AM,9/20/2012 12:00:00 AM,25085218560000,25,85,"G3 Operating, LLC.",Jacob Farms 1-14-23H 1-14-23H,48.0,-104.0,NAD83,,,,Montana,Roosevelt,1,False,False,,
23f80890-c753-42fe-976d-ce426a4903f2,9/20/2012 12:00:00 AM,9/20/2012 12:00:00 AM,25091219210000,25,91,"TAQA North USA, Inc.",Hellegaard 9-13H #2,48.8702913,-104.0519017,WGS84,7791.0,341209.0,,Montana,Sheridan,1,False,False,,
d30045e8-6762-4aa0-8cec-c8ac1a0b5f34,9/21/2012 12:00:00 AM,9/21/2012 12:00:00 AM,25083229460000,25,83,"Slawson Exploration Company, Inc.",Rapscallion 1-34H,47.791,-105.022675,NAD83,,,,MT,Richland,1,False,False,,
037d11aa-baa2-462f-87b3-8ff975bf3be2,9/21/2012 12:00:00 AM,9/21/2012 12:00:00 AM,25083229670000,25,83,Fidelity Exploration & Production,Klose 8-17H,47.68884720947,-104.4305678579,NAD83,,,,Montana,Richland,1,False,False,,
2f9a9215-95af-418f-99db-56b686c1afbc,9/23/2012 12:00:00 AM,9/23/2012 12:00:00 AM,25083229640000,25,83,"Continental Resources, Inc",Rognas 3-27H,47.8827213708,-104.601165561012,NAD83,,,,Montana,Richland,1,False,False,,
573140c2-c840-42c5-8969-a209cdcfff00,9/24/2012 12:00:00 AM,9/24/2012 12:00:00 AM,25085218560000,25,85,"G3 Operating, LLC.",FT Hought 1-22-15H,48.0,-103.0,NAD83,10172.0,1718152.0,,ND,Williams,1,False,False,,
6fe16a7d-8435-44db-a222-8ea59ba3da4b,9/26/2012 12:00:00 AM,9/26/2012 12:00:00 AM,25083229700000,25,83,"Continental Resources, Inc",Helen 3-19H,47.897520363,-104.66633228,NAD83,,,,Montana,Richland,1,False,False,,
1b457766-400e-4007-8fb0-3554a9865385,9/27/2012 12:00:00 AM,9/27/2012 12:00:00 AM,25091219160000,25,91,Marathon Oil,Raymond Sveet 31-29H,48.417321,-104.073126,NAD83,,,,Montana,Sheridan,1,False,False,,
1eac4dbc-031e-46b5-8884-2eaa7c28ea95,9/29/2012 12:00:00 AM,9/29/2012 12:00:00 AM,25083230230000,25,83,Whiting Petroleum,Kilen 21-15-1H,47.92,-104.35,NAD83,,,,Montana,Richland,1,False,False,,
0491fb60-42a1-47a7-9540-3bce02edd6ba,9/29/2012 12:00:00 AM,9/29/2012 12:00:00 AM,25083230320000,25,83,"Continental Resources, Inc",Klasna 3-19H,47.81979084,-104.833960494,NAD83,,,,Montana,Richland,1,False,False,,
feea5243-84a8-4b49-88b4-88a2ff59dccf,10/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM,25083230010000,25,83,Whiting Petroleum,Norby 21-16-1H,47.92,-104.36,NAD83,,,,Montana,Richland,1,False,False,,
18d7dd3e-5118-465f-9e52-32e84e5da68e,10/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM,25083230020000,25,83,Oasis Petroleum,David Federal 2658 43-9H,48.013136,-104.283248,NAD27,10311.0,2504300.0,,Montana,Richland,1,False,False,,
4e81619e-4a9d-46ed-96d4-74c11b045c17,10/1/2012 12:00:00 AM,10/1/2012 12:00:00 AM,25091219170000,25,91,"TAQA North USA, Inc.",McKinnon 17-8H,48.8702913,-104.0519017,WGS84,7706.0,374653.0,,Montana,Sheridan,1,False,False,,
9327c251-7ad2-4eed-a30b-3b5eaacdc852,10/3/2012 12:00:00 AM,10/3/2012 12:00:00 AM,25087217380000,25,87,Fidelity Exploration & Production,71 Ranch 44-1H,46.642727,-107.379455,NAD83,5115.0,1082654.41679401,,MT,Rosebud,1,False,False,,
393d7b5a-2110-4abc-9229-6fcecd2d975c,10/4/2012 12:00:00 AM,10/4/2012 12:00:00 AM,25091219240000,25,91,"TAQA North USA, Inc.",State 16-12H,48.87,-104.05,WGS84,7862.0,404339.0,,Montana,Sheridan,1,False,False,,
